Идентификатор,Код транзитного пункта,Время обновления,Тип коррекции,Дата начала действия
1,661103,20.09.2021 08:01,U,20.09.2021
2,662002,30.06.2011 18:21,U,01.07.2011
3,662801,19.07.2019 09:44,U,19.07.2019
4,662905,14.12.2005 12:44,I,01.12.2005
5,663306,25.07.2019 09:29,U,25.07.2019
6,663503,14.12.2005 12:44,I,01.12.2005
7,664703,05.06.2013 15:51,U,05.06.2013
8,664900,30.06.2011 19:22,U,01.07.2011
9,660007,21.10.2015 15:24,U,01.11.2015
10,673007,25.07.2019 09:12,U,25.07.2019
11,673905,08.01.2024 11:41,U,09.01.2024
12,675905,24.07.2019 14:57,U,19.07.2019
13,666501,14.12.2005 12:44,I,01.12.2005
14,668600,25.07.2019 09:35,U,25.07.2019
15,669904,20.09.2021 07:58,U,20.09.2021
16,670102,15.10.2021 09:07,U,15.10.2021
17,684001,15.01.2018 19:03,U,15.01.2018
18,685707,25.02.2021 13:31,U,25.02.2021
19,685803,30.06.2011 18:56,U,01.07.2011
20,687008,05.12.2007 12:09,U,05.12.2007
21,688708,14.12.2005 12:44,I,01.12.2005
22,690002,11.11.2024 16:06,U,12.11.2024
23,690200,15.03.2010 10:53,U,15.03.2010
24,676700,03.04.2024 07:12,U,05.04.2024
25,677309,18.03.2008 15:08,U,18.03.2008
26,678405,31.05.2018 10:56,U,01.06.2018
27,679107,31.05.2018 10:56,U,01.06.2018
28,680000,24.07.2019 14:25,U,19.07.2019
29,682203,14.12.2005 12:44,I,01.12.2005
30,683102,20.09.2021 07:55,U,20.09.2021
31,704101,31.05.2018 10:56,U,01.06.2018
32,704402,17.06.2021 10:49,U,01.07.2021
33,704703,14.12.2005 12:44,I,01.12.2005
34,693405,24.07.2019 14:13,U,19.07.2019
35,694605,24.07.2019 14:07,U,19.07.2019
36,696102,03.11.2023 06:34,U,08.11.2023
37,697509,30.06.2011 17:45,U,30.06.2011
38,698004,27.12.2019 08:35,U,13.12.2019
39,698606,25.07.2019 14:02,U,25.07.2019
40,700007,02.04.2018 17:44,U,01.04.2018
41,700505,08.01.2024 11:51,U,09.01.2024
42,711302,14.12.2005 12:44,I,01.12.2005
43,713007,25.07.2019 12:56,U,25.07.2019
44,713806,25.07.2019 09:40,U,25.07.2019
45,706304,08.01.2024 11:47,U,09.01.2024
46,707701,21.09.2017 11:05,U,21.12.2012
47,708009,21.11.2016 08:43,U,19.10.2016
48,708507,21.10.2015 15:24,U,01.11.2015
49,709105,25.07.2019 13:54,U,25.07.2019
50,709302,28.01.2022 05:18,U,28.01.2022
51,709406,08.01.2024 11:49,U,09.01.2024
52,691607,16.05.2018 14:23,U,15.05.2018
53,710600,21.08.2017 13:49,U,15.08.2017
54,661601,16.07.2019 14:17,U,16.07.2019
55,687207,16.07.2019 14:54,U,16.07.2019
56,708403,03.08.2021 10:10,U,03.08.2021
